
2024/09/14 (17:09:21) | ===> btop++ v.1.3.2
2024/09/14 (17:09:21) | ERROR: Stall in Runner thread, restarting!

2024/10/05 (16:42:09) | ===> btop++ v.1.4.0
2024/10/05 (16:42:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (22:29:51) | ===> btop++ v.1.4.0
2024/10/07 (22:29:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (11:35:20) | ===> btop++ v.1.4.0
2024/10/10 (11:35:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (17:28:30) | ===> btop++ v.1.4.0
2024/10/10 (17:28:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (18:31:44) | ===> btop++ v.1.4.0
2024/10/10 (18:31:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (18:32:47) | ===> btop++ v.1.4.0
2024/10/10 (18:32:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/10 (18:33:26) | ===> btop++ v.1.4.0
2024/10/10 (18:33:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/11 (11:52:40) | ===> btop++ v.1.4.0
2024/10/11 (11:52:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/11 (22:05:22) | ===> btop++ v.1.4.0
2024/10/11 (22:05:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (13:54:19) | ===> btop++ v.1.4.0
2024/10/12 (13:54:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (10:39:34) | ===> btop++ v.1.4.0
2024/10/13 (10:39:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (14:09:51) | ===> btop++ v.1.4.0
2024/10/13 (14:09:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (14:15:58) | ===> btop++ v.1.4.0
2024/10/13 (14:15:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (14:19:00) | ===> btop++ v.1.4.0
2024/10/13 (14:19:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (14:45:31) | ===> btop++ v.1.4.0
2024/10/13 (14:45:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (14:55:31) | ===> btop++ v.1.4.0
2024/10/13 (14:55:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (15:02:43) | ===> btop++ v.1.4.0
2024/10/13 (15:02:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (15:02:48) | ===> btop++ v.1.4.0
2024/10/13 (15:02:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (15:06:51) | ===> btop++ v.1.4.0
2024/10/13 (15:06:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (15:07:45) | ===> btop++ v.1.4.0
2024/10/13 (15:07:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (15:10:09) | ===> btop++ v.1.4.0
2024/10/13 (15:10:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (16:14:50) | ===> btop++ v.1.4.0
2024/10/13 (16:14:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (16:23:01) | ===> btop++ v.1.4.0
2024/10/13 (16:23:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (16:28:32) | ===> btop++ v.1.4.0
2024/10/13 (16:28:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (21:30:31) | ===> btop++ v.1.4.0
2024/10/14 (21:30:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (21:56:56) | ===> btop++ v.1.4.0
2024/10/14 (21:56:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (23:01:46) | ===> btop++ v.1.4.0
2024/10/14 (23:01:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (23:01:48) | ===> btop++ v.1.4.0
2024/10/14 (23:01:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (23:04:20) | ===> btop++ v.1.4.0
2024/10/14 (23:04:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (23:05:59) | ===> btop++ v.1.4.0
2024/10/14 (23:05:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (23:10:49) | ===> btop++ v.1.4.0
2024/10/14 (23:10:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (09:07:58) | ===> btop++ v.1.4.0
2024/10/17 (09:07:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (09:21:23) | ===> btop++ v.1.4.0
2024/10/17 (09:21:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (10:44:31) | ===> btop++ v.1.4.0
2024/10/17 (10:44:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (11:01:32) | ===> btop++ v.1.4.0
2024/10/17 (11:01:32) | WARNING: Intel GPU: Failed to initialize PMU
